"first_author","publication_year","doi","source","scope","category","time_period","temporal_resolution","spatial_scale","taxonomic_group","paper_type","framing_title","framing_abstract","scope_multi_species","scope_multi_higher_class_and_up","reporting_significance","reporting_effect_size","reporting_uncertainty_w_effect_size","attribution_component","attribution_quant_test","relevance_for_prediction_potentially_1","relevance_for_prediction_directly_1","scored_sum"
"Allen","2010","https://doi.org/10.1016/j.quascirev.2010.05.031","AR5 Ch4","ecological","near-time","10 - 42 ka BP","1000 years","Continent","Vegetation","Modelling",0,1,1,1,0,1,0,1,0,1,0,6
"Alley","2003","https://doi.org/10.1126/science.1081056","AR5 Ch4","climate and environment","near-time","various","various","Global","","Review (nothing new)",0,1,1,1,0,0,0,1,0,1,0,5
"Arneth","2010","https://doi.org/10.1038/ngeo905","AR5 Ch4","ecological","near-time","0 - 80,000 ka BP","100 years","Global","Terrestrial biosphere","Review (new analysis)",1,1,1,1,1,1,1,1,1,1,1,11
"Barnosky","2011","https://doi.org/10.1038/nature11018","AR5 Ch4","ecological","deep-time","various (up to Phanerozoic)","various","Global","Earth's biosphere","Review (nothing new)",0,0,1,1,0,1,1,1,0,1,0,6
"Battarbee","2009","https://doi.org/10.1080/14634980902905742","AR5 Ch4","ecological","near-time","various","various (high res though)","Continent","Mountain lake ecosystems; sed cores","Review (nothing new)",0,1,1,1,0,0,0,1,0,1,0,5
"Beilman","2009","https://doi.org/10.1029/2007GB003112","AR5 Ch4","ecological","near-time","0 - 2,000 BP","10 years","Regional","Peatlands","Original data",0,1,1,1,1,1,0,1,0,1,0,7
"Bond","2012","https://doi.org/10.1098/rstb.2011.0182","AR5 Ch4","ecological","historical","1950 - 2006","1 year","Continent","Trees and savannah grasses","Review (new analysis)",0,0,1,1,1,1,0,1,1,1,1,8
"Booth","2005","https://doi.org/10.1191%2F0959683605hl825ft","AR5 Ch4","ecological","near-time","41 - 43 ka","100 years","Regional","Pollen","Review (new analysis)",0,1,1,1,0,0,0,1,0,1,0,5
"Cheaib","2012","https://doi.org/10.1111/j.1461-0248.2012.01764.x","AR5 Ch4","ecological","modern","current and future","1 year","","","Modelling",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"Clark","1998","https://doi.org/10.1086/286162","AR5 Ch4","ecological","near-time","(Pleistocene)","","","Trees","Modelling",0,1,1,1,0,0,0,0,0,1,1,5
"Claussen","2009","https://doi.org/10.5194/cp-5-203-2009","AR5 Ch4","ecological","near-time","0 - 120,000 BP","1000 years","Regional","Vegetation","Review (new analysis)",1,1,1,1,0,1,1,1,0,1,0,8
"Claussen","2013","https://doi.org/10.5194/bg-10-3593-2013","AR5 Ch4","ecological","near-time","21ka (LGM)","100 years","Global","Vegetation","Modelling",1,1,1,1,0,1,0,1,1,1,1,9
"Daniau","2012","https://doi.org/10.1029/2011GB004249","AR5 Ch4","ecological","near-time","0 - 21,000 BP","1000 years","Global","Biomass; charcoal record","Meta-analysis/Compilation",1,1,1,1,1,1,1,1,1,1,1,11
"Daniau","2010","https://doi.org/10.1016/j.quascirev.2009.11.008","AR5 Ch4","ecological","near-time","73.5 - 14.7 ka (last glacial)","100 years","Global","Charcoal records","Meta-analysis/Compilation",0,1,1,1,1,0,0,1,1,1,1,8
"Dawson","2011","https://doi.org/10.1126/science.1200303","AR5 Ch4","ecological","na","na","na","na","many","Review (nothing new)",1,1,1,1,0,0,0,1,0,1,0,6
"Garreta","2010","https://doi.org/10.1007/s00382-009-0629-1","AR5 Ch4","climate-only","near-time","0 - 11,000 BP","10 years","Continent","Pollen","Modelling",1,1,1,1,1,1,1,1,1,1,1,11
"Gill","2009","https://doi.org/10.1126/science.1179504","AR5 Ch4","ecological","near-time","8 - 17 ka","100 years","Continent","Megafauna, plants","Original data",0,1,1,1,0,0,0,1,0,1,0,5
"Gonzalez","2010","https://doi.org/10.1111/j.1466-8238.2010.00558.x","AR5 Ch4","ecological","historical","1900 - 2000","1 year","Global","Vegetation biomes","Modelling",1,1,1,1,1,1,1,1,1,1,1,11
"Green","2008","https://doi.org/10.1098/rsbl.2008.0052","AR5 Ch4","ecological","modern","1970 - 2004","1 year","Regional","Birds","Modelling",1,1,1,0,1,1,0,1,1,1,1,9
