sys,system,series,stage,tens,short,gts2004,gts2008,gts2012,gts2016,gts2020
E,Ediacaran,Upper Ediacaran,Avalon Assemblage,,Ava,630,635,635,635,
E,Ediacaran,Upper Ediacaran,White Sea Assemblage,,Whs,,,,,
E,Ediacaran,Upper Ediacaran,Nama Assemblage,,Nam,,,,,
Cm,Cambrian,Terreneuvian,Fortunian,Cambrian 1,For,542,542,541,541,538.8
Cm,Cambrian,Terreneuvian,Stage 2,Cambrian 2,St2,531,528,529,530,529
Cm,Cambrian,Series 2,Stage 3,Cambrian 2,St3,522.5,521,521,520,521
Cm,Cambrian,Series 2,Stage 4,Cambrian 3,St4,513,515,514,514,514.5
Cm,Cambrian,Maolingian,Wulian,Cambrian 3,Wul,510,510,509,509,509
Cm,Cambrian,Maolingian,Drumian,Cambrian 3,Dru,507,506.5,504.5,504.5,504.5
Cm,Cambrian,Maolingian,Guzhangian,Cambrian 3,Guz,503,503,500.5,500.5,500.5
Cm,Cambrian,Furongian,Paibian,Cambrian 4,Pai,501,499,497,497,497
Cm,Cambrian,Furongian,Jiangshanian,Cambrian 4,Jia,498,496,494,494,494.2
Cm,Cambrian,Furongian,Stage 10,Cambrian 4,Law,491.8,492,489.5,489.5,491
O,Ordovician,Lower Ordovician,Tremadocian,Ordovician 1,Tre,488.3,488.3,485.37,485.4,486.85
O,Ordovician,Lower Ordovician,Floian,Ordovician 2,Flo,478.6,478.6,477.72,477.72,477.08
O,Ordovician,Middle Ordovician,Dapingian,Ordovician 2,Dap,471.8,471.8,469.96,469.96,471.26
O,Ordovician,Middle Ordovician,Darriwilian,Ordovician 3,Dar,468.1,468.1,467.3,467.3,469.42
O,Ordovician,Upper Ordovician,Sandbian,Ordovician 4,Sbd,460.9,460.9,458.36,458.36,458.18
O,Ordovician,Upper Ordovician,Katian,Ordovician 4,Kat,455.8,455.8,452.97,452.97,452.75
O,Ordovician,Upper Ordovician,Hirnantian,Ordovician 5,Hir,445.6,445.6,445.16,445.16,445.21
S,Silurian,Llandovery,Rhuddanian,Silurian 1,Rhu,443.7,443.7,443.83,443.83,443.07
S,Silurian,Llandovery,Aeronian,Silurian 1,Aer,439,439,440.77,440.77,440.49
S,Silurian,Llandovery,Telychian,Silurian 1,Tel,436,436,438.49,438.49,438.59
S,Silurian,Wenlock,Sheinwoodian,Silurian 2,She,428.2,428.2,433.35,433.35,432.93
S,Silurian,Wenlock,Homerian,Silurian 2,Hom,426.2,426.2,430.45,430.45,430.62
S,Silurian,Ludlow,Gorstian,Silurian 2,Gor,422.9,422.9,427.36,427.36,426.74
S,Silurian,Ludlow,Ludfordian,Silurian 2,Lud,421.3,421.3,425.57,425.57,425.01
S,Silurian,Pridoli,Pridoli,Silurian 2,Pri,418.7,418.7,422.96,422.96,422.73
D,Devonian,Lower Devonian,Lochkovian,Devonian 1,Loc,416,416,419.2,419.2,419
D,Devonian,Lower Devonian,Pragian,Devonian 1,Pra,411.2,411.2,410.78,410.78,412.4
D,Devonian,Lower Devonian,Emsian,Devonian 2,Ems,407,407,407.57,407.57,410.5
D,Devonian,Middle Devonian,Eifelian,Devonian 3,Eif,397.5,397.5,393.25,393.25,394.3
D,Devonian,Middle Devonian,Givetian,Devonian 3,Giv,391.8,391.8,387.72,387.72,385.3
D,Devonian,Upper Devonian,Frasnian,Devonian 4,Fra,385.3,385.3,382.69,382.69,378.9
D,Devonian,Upper Devonian,Famennian,Devonian 5,Fam,374.5,374.5,372.24,372.24,371.1
C,Carboniferous,Mississippian,Tournaisian,Carboniferous 1,Tou,359.2,359.2,358.94,358.94,359.3
