"first_author","year","title","doi"
"Williams, JW",2004,"Late-quaternary vegetation dynamics in north america: Scaling from taxa to biomes","10.1890/02-4045"
"Feranec, RS",2004,"Geographic variation in the diet of hypsodont herbivores from the Rancholabrean of Florida","10.1016/j.palaeo.2003.09.031"
"Yang, ZR",2005,"Modeling the history of Lake of the Woods since 11,000 cal yr BP using GIS","10.1007/s10933-005-0813-1"
"Verschuren, D",2006,"Quaternary paleoecology of aquatic Diptera in tropical and Southern Hemisphere regions, with special reference to the Chironomidae","10.1016/j.quascirev.2006.01.008"
"Flakne, R",2003,"The holocene vegetation history of Isle Royale National Park, Michigan, USA","10.1139/X03-063"
"Lynch, JA",2004,"Climatic and landscape controls of the boreal forest fire regime: Holocene records from Alaska","10.1111/j.0022-0477.2004.00879.x"
"Grund, M",2006,"Chironomidae (Diptera) in Dominican amber as indicators for ecosystem stability in the Caribbean","10.1016/j.palaeo.2006.04.005"
"Palombo, MR",2007,"What is the boundary for the Quaternary period and Pleistocene epoch? The contribution of turnover patterns in large mammalian complexes from north-western Mediterranean to the debate",""
"Bennett, KD",2006,"DNA from pollen: principles and potential","10.1177/0959683606069383"
"Walker, IR",2003,"Freshwater midges of the Yukon and adjacent Northwest Territories: a new tool for reconstructing Beringian paleoenvironments?","10.2307/1468001"
"Gandouin, E",2007,"Chironomid responses (Insect : Diptera) to Younger Dryas and Holocene environmental changes in a river floodplain from northern France (St-Momelin, St-Omer basin)","10.1177/0959683607076447"
"Hetherington, R",2003,"Malacological insights into the marine ecology and changing climate of the late Pleistocene-early Holocene Queen Charlotte Islands archipelago, western Canada, and implications for early peoples","10.1139/Z03-024"
"Gavin, DG",2003,"Holocene fire history of a coastal temperate rain forest based on soil charcoal radiocarbon dates","10.1890/0012-9658(2003)084[0186:HFHOAC]2.0.CO;2"
"Urrego, DH",2005,"The Last Glacial Maximum: stability and change in a western Amazonian cloud forest","10.1002/jqs.976"
"Burney, DA",2005,"Fifty millennia of catastrophic extinctions after human contact","10.1016/j.tree.2005.04.022"
"Tzedakis, PC",2004,"Ecological thresholds and patterns of millennial-scale climate variability: The response of vegetation in Greece during the last glacial period","10.1130/G20118.1"
"Donnelly, A",2004,"A review of indicators of climate change for use in Ireland","10.1007/s00484-004-0215-5"
"Helama, S",2007,"Compound response of marine and terrestrial ecosystems to varying climate: Pre-anthropogenic perspective from bivalve shell growth increments and tree-rings","10.1016/j.marenvres.2006.08.003"
"Davis, EB",2005,"Mammalian beta diversity in the Great Basin, western USA: palaeontological data suggest deep origin of modern macroecological structure","10.1111/j.1466-822x.2005.00183.x"
"Katz, RW",2005,"Statistics of extremes: Modeling ecological disturbances","10.1890/04-0606"
"Pole, M",2003,"The terrestrial Miocene biota of southern New Zealand","10.1080/03014223.2003.9517737"
"Yu, SY",2005,"Holocene palaeoecology along the Blekinge coast, SE Sweden, and implications for climate and sea-level changes","10.1191/0959683605hl792rp"
"Willard, DA",2007,"Paleoecology and ecosystem restoration: case studies from Chesapeake Bay and the Florida Everglades","10.1890/070015"
"Lytle, DE",2005,"Palaeoecological evidence of state shifts between forest and barrens on a Michigan sand plain, USA","10.1191/0959683605hl856ra"
"Willis, KJ",2007,"How can a knowledge of the past help to conserve the future? Biodiversity conservation and the relevance of long-term ecological studies","10.1098/rstb.2006.1977"
"Pack, SM",2003,"Carbon isotopic evidence for increased aridity in northwestern Australia through the Quaternary","10.1016/S0277-3791(02)00144-0"
"Marchant, R",2004,"Rapid environmental change in African and South American tropics around 4000 years before present: a review","10.1016/j.earscirev.2004.01.003"
"Waltari, E",2007,"Eastward Ho: phylogeographical perspectives on colonization of hosts and parasites across the Beringian nexus","10.1111/j.1365-2699.2007.01705.x"
"Wooller, MJ",2003,"Late Quaternary vegetation changes around Lake Rutundu, Mount Kenya, East Africa: evidence from grass cuticles, pollen and stable carbon isotopes","10.1002/jqs.725"
"Cohen, AS",2005,"Paleolimnological investigations of anthropogenic environmental change in Lake Tanganyika: IX. Summary of paleorecords of environmental change and catchment deforestation at Lake Tanganyika and impacts on the Lake Tanganyika ecosystem","10.1007/s10933-005-2422-4"
"Seppa, H",2003,"Quaternary pollen analysis: recent progress in palaeoecology and palaeoclimatology","10.1191/0309133303pp394oa"
"Richardson, DM",2007,"Human impacts in pine forests: Past, present, and future","10.1146/annurev.ecolsys.38.091206.095650"
"Quinlan, R",2005,"Food web changes in arctic ecosystems related to climate warming","10.1111/j.1365-2486.2005.00981.x"
"Liu, XD",2005,"A preliminary study of elemental geochemistry and its potential application in Antarctic Seal palaeoecology","10.2343/geochemj.39.47"
"Tinner, W",2005,"Rapid responses of high-mountain vegetation to early Holocene environmental changes in the Swiss Alps","10.1111/j.1365-2745.2005.01023.x"
"Craine, JM",2004,"The influence of biotic drivers on North American palaeorecords: alternatives to climate","10.1191/0959683604hl758fa"
"Bruggemann, JH",2004,"Stratigraphy, palaeoenvironments and model for the deposition of the Abdur Reef Limestone: context for an important archaeological site from the last interglacial on the Red Sea coast of Eritrea","10.1016/S0031-0182(03)00659-X"
"Kaltenrieder, P",2005,"Long-term vegetation history at timberline in the Swiss Alps (Alpe d'Essertse, VS)","10.1007/s00035-005-0722-y"
"Parshall, T",2003,"Long-term history of vegetation and fire in pitch pine-oak forests on Cape Cod, Massachusetts","10.1890/0012-9658(2003)084[0736:LTHOVA]2.0.CO;2"
"Lynch, JA",2004,"Charcoal production, dispersal, and deposition from the Fort Providence experimental fire: interpreting fire regimes from charcoal records in boreal forests","10.1139/X04-071"
"Brncic, TM",2007,"Culture or climate? The relative influences of past processes on the composition of the lowland Congo rainforest","10.1098/rstb.2006.1982"
"Gray, ST",2006,"Role of multidecadal climate variability in a range extension of pinyon pine","10.1890/0012-9658(2006)87[1124:ROMCVI]2.0.CO;2"
